 E (mV), i (mA), E (mV)-20, i (mA)-20, E (mV)-40, i (mA)-40, E (mV)-60, i (mA)-60, E (mV)-80, i (mA)-80, E (mV)-100, i (mA)-100, E (mV)-150, i (mA)-150, E (mV)-200, i (mA)-200, E (mV)-250, i (mA)-250, E (mV)-300, i (mA)-300, E (mV)-350, i (mA)-350, E (mV)-400, i (mA)-400, E (mV)-450, i (mA)-450, E (mV)-500, i (mA)-500, E (mV)-600, i (mA)-600, E (mV)-700, i (mA)-700, E (mV)-800, i (mA)-800, E (mV)-900, i (mA)-900, E (mV)-1000, i (mA)-1000
1002.81,5.21E-01,1002810,5.21E+05,1002810000,5.21E+11,1.00281E+12,5.21E+17,1.00281E+15,5.21E+23,1.00281E+18,5.21E+29,1.00281E+21,5.21E+35,1.00281E+24,5.21E+41,1.00281E+27,5.21E+47,1.00281E+30,5.21E+53,1.00281E+33,5.21E+59,1.00281E+36,5.21E+65,1.00281E+39,5.21E+71,1.00281E+42,5.21E+77,1.00281E+45,5.21E+83,1.00281E+48,5.21E+89,1.00281E+51,5.21E+95,1.00281E+54,5.21E+101,1.00281E+57,5.21E+107
1012.57,5.46E-01,1012570,5.46E+05,1012570000,5.46E+11,1.01257E+12,5.46E+17,1.01257E+15,5.46E+23,1.01257E+18,5.46E+29,1.01257E+21,5.46E+35,1.01257E+24,5.46E+41,1.01257E+27,5.46E+47,1.01257E+30,5.46E+53,1.01257E+33,5.46E+59,1.01257E+36,5.46E+65,1.01257E+39,5.46E+71,1.01257E+42,5.46E+77,1.01257E+45,5.46E+83,1.01257E+48,5.46E+89,1.01257E+51,5.46E+95,1.01257E+54,5.46E+101,1.01257E+57,5.46E+107
1022.64,5.71E-01,1022640,5.71E+05,1022640000,5.71E+11,1.02264E+12,5.71E+17,1.02264E+15,5.71E+23,1.02264E+18,5.71E+29,1.02264E+21,5.71E+35,1.02264E+24,5.71E+41,1.02264E+27,5.71E+47,1.02264E+30,5.71E+53,1.02264E+33,5.71E+59,1.02264E+36,5.71E+65,1.02264E+39,5.71E+71,1.02264E+42,5.71E+77,1.02264E+45,5.71E+83,1.02264E+48,5.71E+89,1.02264E+51,5.71E+95,1.02264E+54,5.71E+101,1.02264E+57,5.71E+107
1032.72,5.98E-01,1032720,5.98E+05,1032720000,5.98E+11,1.03272E+12,5.98E+17,1.03272E+15,5.98E+23,1.03272E+18,5.98E+29,1.03272E+21,5.98E+35,1.03272E+24,5.98E+41,1.03272E+27,5.98E+47,1.03272E+30,5.98E+53,1.03272E+33,5.98E+59,1.03272E+36,5.98E+65,1.03272E+39,5.98E+71,1.03272E+42,5.98E+77,1.03272E+45,5.98E+83,1.03272E+48,5.98E+89,1.03272E+51,5.98E+95,1.03272E+54,5.98E+101,1.03272E+57,5.98E+107
1042.48,6.26E-01,1042480,6.26E+05,1042480000,6.26E+11,1.04248E+12,6.26E+17,1.04248E+15,6.26E+23,1.04248E+18,6.26E+29,1.04248E+21,6.26E+35,1.04248E+24,6.26E+41,1.04248E+27,6.26E+47,1.04248E+30,6.26E+53,1.04248E+33,6.26E+59,1.04248E+36,6.26E+65,1.04248E+39,6.26E+71,1.04248E+42,6.26E+77,1.04248E+45,6.26E+83,1.04248E+48,6.26E+89,1.04248E+51,6.26E+95,1.04248E+54,6.26E+101,1.04248E+57,6.26E+107
1052.55,6.54E-01,1052550,6.54E+05,1052550000,6.54E+11,1.05255E+12,6.54E+17,1.05255E+15,6.54E+23,1.05255E+18,6.54E+29,1.05255E+21,6.54E+35,1.05255E+24,6.54E+41,1.05255E+27,6.54E+47,1.05255E+30,6.54E+53,1.05255E+33,6.54E+59,1.05255E+36,6.54E+65,1.05255E+39,6.54E+71,1.05255E+42,6.54E+77,1.05255E+45,6.54E+83,1.05255E+48,6.54E+89,1.05255E+51,6.54E+95,1.05255E+54,6.54E+101,1.05255E+57,6.54E+107
1062.62,6.85E-01,1062620,6.85E+05,1062620000,6.85E+11,1.06262E+12,6.85E+17,1.06262E+15,6.85E+23,1.06262E+18,6.85E+29,1.06262E+21,6.85E+35,1.06262E+24,6.85E+41,1.06262E+27,6.85E+47,1.06262E+30,6.85E+53,1.06262E+33,6.85E+59,1.06262E+36,6.85E+65,1.06262E+39,6.85E+71,1.06262E+42,6.85E+77,1.06262E+45,6.85E+83,1.06262E+48,6.85E+89,1.06262E+51,6.85E+95,1.06262E+54,6.85E+101,1.06262E+57,6.85E+107
1072.39,7.16E-01,1072390,7.16E+05,1072390000,7.16E+11,1.07239E+12,7.16E+17,1.07239E+15,7.16E+23,1.07239E+18,7.16E+29,1.07239E+21,7.16E+35,1.07239E+24,7.16E+41,1.07239E+27,7.16E+47,1.07239E+30,7.16E+53,1.07239E+33,7.16E+59,1.07239E+36,7.16E+65,1.07239E+39,7.16E+71,1.07239E+42,7.16E+77,1.07239E+45,7.16E+83,1.07239E+48,7.16E+89,1.07239E+51,7.16E+95,1.07239E+54,7.16E+101,1.07239E+57,7.16E+107
1082.46,7.49E-01,1082460,7.49E+05,1082460000,7.49E+11,1.08246E+12,7.49E+17,1.08246E+15,7.49E+23,1.08246E+18,7.49E+29,1.08246E+21,7.49E+35,1.08246E+24,7.49E+41,1.08246E+27,7.49E+47,1.08246E+30,7.49E+53,1.08246E+33,7.49E+59,1.08246E+36,7.49E+65,1.08246E+39,7.49E+71,1.08246E+42,7.49E+77,1.08246E+45,7.49E+83,1.08246E+48,7.49E+89,1.08246E+51,7.49E+95,1.08246E+54,7.49E+101,1.08246E+57,7.49E+107
1092.53,7.85E-01,1092530,7.85E+05,1092530000,7.85E+11,1.09253E+12,7.85E+17,1.09253E+15,7.85E+23,1.09253E+18,7.85E+29,1.09253E+21,7.85E+35,1.09253E+24,7.85E+41,1.09253E+27,7.85E+47,1.09253E+30,7.85E+53,1.09253E+33,7.85E+59,1.09253E+36,7.85E+65,1.09253E+39,7.85E+71,1.09253E+42,7.85E+77,1.09253E+45,7.85E+83,1.09253E+48,7.85E+89,1.09253E+51,7.85E+95,1.09253E+54,7.85E+101,1.09253E+57,7.85E+107
1102.3,8.23E-01,1102300,8.23E+05,1102300000,8.23E+11,1.1023E+12,8.23E+17,1.1023E+15,8.23E+23,1.1023E+18,8.23E+29,1.1023E+21,8.23E+35,1.1023E+24,8.23E+41,1.1023E+27,8.23E+47,1.1023E+30,8.23E+53,1.1023E+33,8.23E+59,1.1023E+36,8.23E+65,1.1023E+39,8.23E+71,1.1023E+42,8.23E+77,1.1023E+45,8.23E+83,1.1023E+48,8.23E+89,1.1023E+51,8.23E+95,1.1023E+54,8.23E+101,1.1023E+57,8.23E+107
1112.37,8.63E-01,1112370,8.63E+05,1112370000,8.63E+11,1.11237E+12,8.63E+17,1.11237E+15,8.63E+23,1.11237E+18,8.63E+29,1.11237E+21,8.63E+35,1.11237E+24,8.63E+41,1.11237E+27,8.63E+47,1.11237E+30,8.63E+53,1.11237E+33,8.63E+59,1.11237E+36,8.63E+65,1.11237E+39,8.63E+71,1.11237E+42,8.63E+77,1.11237E+45,8.63E+83,1.11237E+48,8.63E+89,1.11237E+51,8.63E+95,1.11237E+54,8.63E+101,1.11237E+57,8.63E+107
1122.44,9.07E-01,1122440,9.07E+05,1122440000,9.07E+11,1.12244E+12,9.07E+17,1.12244E+15,9.07E+23,1.12244E+18,9.07E+29,1.12244E+21,9.07E+35,1.12244E+24,9.07E+41,1.12244E+27,9.07E+47,1.12244E+30,9.07E+53,1.12244E+33,9.07E+59,1.12244E+36,9.07E+65,1.12244E+39,9.07E+71,1.12244E+42,9.07E+77,1.12244E+45,9.07E+83,1.12244E+48,9.07E+89,1.12244E+51,9.07E+95,1.12244E+54,9.07E+101,1.12244E+57,9.07E+107
1132.2,9.54E-01,1132200,9.54E+05,1132200000,9.54E+11,1.1322E+12,9.54E+17,1.1322E+15,9.54E+23,1.1322E+18,9.54E+29,1.1322E+21,9.54E+35,1.1322E+24,9.54E+41,1.1322E+27,9.54E+47,1.1322E+30,9.54E+53,1.1322E+33,9.54E+59,1.1322E+36,9.54E+65,1.1322E+39,9.54E+71,1.1322E+42,9.54E+77,1.1322E+45,9.54E+83,1.1322E+48,9.54E+89,1.1322E+51,9.54E+95,1.1322E+54,9.54E+101,1.1322E+57,9.54E+107
1142.27,1.01E+00,1142270,1.01E+06,1142270000,1.01E+12,1.14227E+12,1.01E+18,1.14227E+15,1.01E+24,1.14227E+18,1.01E+30,1.14227E+21,1.01E+36,1.14227E+24,1.01E+42,1.14227E+27,1.01E+48,1.14227E+30,1.01E+54,1.14227E+33,1.01E+60,1.14227E+36,1.01E+66,1.14227E+39,1.01E+72,1.14227E+42,1.01E+78,1.14227E+45,1.01E+84,1.14227E+48,1.01E+90,1.14227E+51,1.01E+96,1.14227E+54,1.01E+102,1.14227E+57,1.01E+108
1152.34,1.06E+00,1152340,1.06E+06,1152340000,1.06E+12,1.15234E+12,1.06E+18,1.15234E+15,1.06E+24,1.15234E+18,1.06E+30,1.15234E+21,1.06E+36,1.15234E+24,1.06E+42,1.15234E+27,1.06E+48,1.15234E+30,1.06E+54,1.15234E+33,1.06E+60,1.15234E+36,1.06E+66,1.15234E+39,1.06E+72,1.15234E+42,1.06E+78,1.15234E+45,1.06E+84,1.15234E+48,1.06E+90,1.15234E+51,1.06E+96,1.15234E+54,1.06E+102,1.15234E+57,1.06E+108
1162.11,1.12E+00,1162110,1.12E+06,1162110000,1.12E+12,1.16211E+12,1.12E+18,1.16211E+15,1.12E+24,1.16211E+18,1.12E+30,1.16211E+21,1.12E+36,1.16211E+24,1.12E+42,1.16211E+27,1.12E+48,1.16211E+30,1.12E+54,1.16211E+33,1.12E+60,1.16211E+36,1.12E+66,1.16211E+39,1.12E+72,1.16211E+42,1.12E+78,1.16211E+45,1.12E+84,1.16211E+48,1.12E+90,1.16211E+51,1.12E+96,1.16211E+54,1.12E+102,1.16211E+57,1.12E+108
1172.18,1.19E+00,1172180,1.19E+06,1172180000,1.19E+12,1.17218E+12,1.19E+18,1.17218E+15,1.19E+24,1.17218E+18,1.19E+30,1.17218E+21,1.19E+36,1.17218E+24,1.19E+42,1.17218E+27,1.19E+48,1.17218E+30,1.19E+54,1.17218E+33,1.19E+60,1.17218E+36,1.19E+66,1.17218E+39,1.19E+72,1.17218E+42,1.19E+78,1.17218E+45,1.19E+84,1.17218E+48,1.19E+90,1.17218E+51,1.19E+96,1.17218E+54,1.19E+102,1.17218E+57,1.19E+108
1181.95,1.27E+00,1181950,1.27E+06,1181950000,1.27E+12,1.18195E+12,1.27E+18,1.18195E+15,1.27E+24,1.18195E+18,1.27E+30,1.18195E+21,1.27E+36,1.18195E+24,1.27E+42,1.18195E+27,1.27E+48,1.18195E+30,1.27E+54,1.18195E+33,1.27E+60,1.18195E+36,1.27E+66,1.18195E+39,1.27E+72,1.18195E+42,1.27E+78,1.18195E+45,1.27E+84,1.18195E+48,1.27E+90,1.18195E+51,1.27E+96,1.18195E+54,1.27E+102,1.18195E+57,1.27E+108
1192.02,1.35E+00,1192020,1.35E+06,1192020000,1.35E+12,1.19202E+12,1.35E+18,1.19202E+15,1.35E+24,1.19202E+18,1.35E+30,1.19202E+21,1.35E+36,1.19202E+24,1.35E+42,1.19202E+27,1.35E+48,1.19202E+30,1.35E+54,1.19202E+33,1.35E+60,1.19202E+36,1.35E+66,1.19202E+39,1.35E+72,1.19202E+42,1.35E+78,1.19202E+45,1.35E+84,1.19202E+48,1.35E+90,1.19202E+51,1.35E+96,1.19202E+54,1.35E+102,1.19202E+57,1.35E+108
1198.12,1.18E+00,1198120,1.18E+06,1198120000,1.18E+12,1.19812E+12,1.18E+18,1.19812E+15,1.18E+24,1.19812E+18,1.18E+30,1.19812E+21,1.18E+36,1.19812E+24,1.18E+42,1.19812E+27,1.18E+48,1.19812E+30,1.18E+54,1.19812E+33,1.18E+60,1.19812E+36,1.18E+66,1.19812E+39,1.18E+72,1.19812E+42,1.18E+78,1.19812E+45,1.18E+84,1.19812E+48,1.18E+90,1.19812E+51,1.18E+96,1.19812E+54,1.18E+102,1.19812E+57,1.18E+108
1188.35,5.44E-01,1188350,5.44E+05,1188350000,5.44E+11,1.18835E+12,5.44E+17,1.18835E+15,5.44E+23,1.18835E+18,5.44E+29,1.18835E+21,5.44E+35,1.18835E+24,5.44E+41,1.18835E+27,5.44E+47,1.18835E+30,5.44E+53,1.18835E+33,5.44E+59,1.18835E+36,5.44E+65,1.18835E+39,5.44E+71,1.18835E+42,5.44E+77,1.18835E+45,5.44E+83,1.18835E+48,5.44E+89,1.18835E+51,5.44E+95,1.18835E+54,5.44E+101,1.18835E+57,5.44E+107
1178.28,3.45E-01,1178280,3.45E+05,1178280000,3.45E+11,1.17828E+12,3.45E+17,1.17828E+15,3.45E+23,1.17828E+18,3.45E+29,1.17828E+21,3.45E+35,1.17828E+24,3.45E+41,1.17828E+27,3.45E+47,1.17828E+30,3.45E+53,1.17828E+33,3.45E+59,1.17828E+36,3.45E+65,1.17828E+39,3.45E+71,1.17828E+42,3.45E+77,1.17828E+45,3.45E+83,1.17828E+48,3.45E+89,1.17828E+51,3.45E+95,1.17828E+54,3.45E+101,1.17828E+57,3.45E+107
1168.52,2.19E-01,1168520,2.19E+05,1168520000,2.19E+11,1.16852E+12,2.19E+17,1.16852E+15,2.19E+23,1.16852E+18,2.19E+29,1.16852E+21,2.19E+35,1.16852E+24,2.19E+41,1.16852E+27,2.19E+47,1.16852E+30,2.19E+53,1.16852E+33,2.19E+59,1.16852E+36,2.19E+65,1.16852E+39,2.19E+71,1.16852E+42,2.19E+77,1.16852E+45,2.19E+83,1.16852E+48,2.19E+89,1.16852E+51,2.19E+95,1.16852E+54,2.19E+101,1.16852E+57,2.19E+107
1158.45,1.29E-01,1158450,1.29E+05,1158450000,1.29E+11,1.15845E+12,1.29E+17,1.15845E+15,1.29E+23,1.15845E+18,1.29E+29,1.15845E+21,1.29E+35,1.15845E+24,1.29E+41,1.15845E+27,1.29E+47,1.15845E+30,1.29E+53,1.15845E+33,1.29E+59,1.15845E+36,1.29E+65,1.15845E+39,1.29E+71,1.15845E+42,1.29E+77,1.15845E+45,1.29E+83,1.15845E+48,1.29E+89,1.15845E+51,1.29E+95,1.15845E+54,1.29E+101,1.15845E+57,1.29E+107
1148.68,6.20E-02,1148680,6.20E+04,1148680000,6.20E+10,1.14868E+12,6.20E+16,1.14868E+15,6.20E+22,1.14868E+18,6.20E+28,1.14868E+21,6.20E+34,1.14868E+24,6.20E+40,1.14868E+27,6.20E+46,1.14868E+30,6.20E+52,1.14868E+33,6.20E+58,1.14868E+36,6.20E+64,1.14868E+39,6.20E+70,1.14868E+42,6.20E+76,1.14868E+45,6.20E+82,1.14868E+48,6.20E+88,1.14868E+51,6.20E+94,1.14868E+54,6.20E+100,1.14868E+57,6.20E+106
1138.61,9.83E-03,1138610,9.83E+03,1138610000,9.83E+09,1.13861E+12,9.83E+15,1.13861E+15,9.83E+21,1.13861E+18,9.83E+27,1.13861E+21,9.83E+33,1.13861E+24,9.83E+39,1.13861E+27,9.83E+45,1.13861E+30,9.83E+51,1.13861E+33,9.83E+57,1.13861E+36,9.83E+63,1.13861E+39,9.83E+69,1.13861E+42,9.83E+75,1.13861E+45,9.83E+81,1.13861E+48,9.83E+87,1.13861E+51,9.83E+93,1.13861E+54,9.83E+99,1.13861E+57,9.83E+105
1128.54,-3.16E-02,1128540,-3.16E+04,1128540000,-3.16E+10,1.12854E+12,-3.16E+16,1.12854E+15,-3.16E+22,1.12854E+18,-3.16E+28,1.12854E+21,-3.16E+34,1.12854E+24,-3.16E+40,1.12854E+27,-3.16E+46,1.12854E+30,-3.16E+52,1.12854E+33,-3.16E+58,1.12854E+36,-3.16E+64,1.12854E+39,-3.16E+70,1.12854E+42,-3.16E+76,1.12854E+45,-3.16E+82,1.12854E+48,-3.16E+88,1.12854E+51,-3.16E+94,1.12854E+54,-3.16E+100,1.12854E+57,-3.16E+106
1118.77,-6.39E-02,1118770,-6.39E+04,1118770000,-6.39E+10,1.11877E+12,-6.39E+16,1.11877E+15,-6.39E+22,1.11877E+18,-6.39E+28,1.11877E+21,-6.39E+34,1.11877E+24,-6.39E+40,1.11877E+27,-6.39E+46,1.11877E+30,-6.39E+52,1.11877E+33,-6.39E+58,1.11877E+36,-6.39E+64,1.11877E+39,-6.39E+70,1.11877E+42,-6.39E+76,1.11877E+45,-6.39E+82,1.11877E+48,-6.39E+88,1.11877E+51,-6.39E+94,1.11877E+54,-6.39E+100,1.11877E+57,-6.39E+106
1108.7,-9.05E-02,1108700,-9.05E+04,1108700000,-9.05E+10,1.1087E+12,-9.05E+16,1.1087E+15,-9.05E+22,1.1087E+18,-9.05E+28,1.1087E+21,-9.05E+34,1.1087E+24,-9.05E+40,1.1087E+27,-9.05E+46,1.1087E+30,-9.05E+52,1.1087E+33,-9.05E+58,1.1087E+36,-9.05E+64,1.1087E+39,-9.05E+70,1.1087E+42,-9.05E+76,1.1087E+45,-9.05E+82,1.1087E+48,-9.05E+88,1.1087E+51,-9.05E+94,1.1087E+54,-9.05E+100,1.1087E+57,-9.05E+106
1098.94,-1.13E-01,1098940,-1.13E+05,1098940000,-1.13E+11,1.09894E+12,-1.13E+17,1.09894E+15,-1.13E+23,1.09894E+18,-1.13E+29,1.09894E+21,-1.13E+35,1.09894E+24,-1.13E+41,1.09894E+27,-1.13E+47,1.09894E+30,-1.13E+53,1.09894E+33,-1.13E+59,1.09894E+36,-1.13E+65,1.09894E+39,-1.13E+71,1.09894E+42,-1.13E+77,1.09894E+45,-1.13E+83,1.09894E+48,-1.13E+89,1.09894E+51,-1.13E+95,1.09894E+54,-1.13E+101,1.09894E+57,-1.13E+107
1088.87,-1.31E-01,1088870,-1.31E+05,1088870000,-1.31E+11,1.08887E+12,-1.31E+17,1.08887E+15,-1.31E+23,1.08887E+18,-1.31E+29,1.08887E+21,-1.31E+35,1.08887E+24,-1.31E+41,1.08887E+27,-1.31E+47,1.08887E+30,-1.31E+53,1.08887E+33,-1.31E+59,1.08887E+36,-1.31E+65,1.08887E+39,-1.31E+71,1.08887E+42,-1.31E+77,1.08887E+45,-1.31E+83,1.08887E+48,-1.31E+89,1.08887E+51,-1.31E+95,1.08887E+54,-1.31E+101,1.08887E+57,-1.31E+107
1079.1,-1.46E-01,1079100,-1.46E+05,1079100000,-1.46E+11,1.0791E+12,-1.46E+17,1.0791E+15,-1.46E+23,1.0791E+18,-1.46E+29,1.0791E+21,-1.46E+35,1.0791E+24,-1.46E+41,1.0791E+27,-1.46E+47,1.0791E+30,-1.46E+53,1.0791E+33,-1.46E+59,1.0791E+36,-1.46E+65,1.0791E+39,-1.46E+71,1.0791E+42,-1.46E+77,1.0791E+45,-1.46E+83,1.0791E+48,-1.46E+89,1.0791E+51,-1.46E+95,1.0791E+54,-1.46E+101,1.0791E+57,-1.46E+107
1069.03,-1.59E-01,1069030,-1.59E+05,1069030000,-1.59E+11,1.06903E+12,-1.59E+17,1.06903E+15,-1.59E+23,1.06903E+18,-1.59E+29,1.06903E+21,-1.59E+35,1.06903E+24,-1.59E+41,1.06903E+27,-1.59E+47,1.06903E+30,-1.59E+53,1.06903E+33,-1.59E+59,1.06903E+36,-1.59E+65,1.06903E+39,-1.59E+71,1.06903E+42,-1.59E+77,1.06903E+45,-1.59E+83,1.06903E+48,-1.59E+89,1.06903E+51,-1.59E+95,1.06903E+54,-1.59E+101,1.06903E+57,-1.59E+107
1059.26,-1.69E-01,1059260,-1.69E+05,1059260000,-1.69E+11,1.05926E+12,-1.69E+17,1.05926E+15,-1.69E+23,1.05926E+18,-1.69E+29,1.05926E+21,-1.69E+35,1.05926E+24,-1.69E+41,1.05926E+27,-1.69E+47,1.05926E+30,-1.69E+53,1.05926E+33,-1.69E+59,1.05926E+36,-1.69E+65,1.05926E+39,-1.69E+71,1.05926E+42,-1.69E+77,1.05926E+45,-1.69E+83,1.05926E+48,-1.69E+89,1.05926E+51,-1.69E+95,1.05926E+54,-1.69E+101,1.05926E+57,-1.69E+107
1049.19,-1.79E-01,1049190,-1.79E+05,1049190000,-1.79E+11,1.04919E+12,-1.79E+17,1.04919E+15,-1.79E+23,1.04919E+18,-1.79E+29,1.04919E+21,-1.79E+35,1.04919E+24,-1.79E+41,1.04919E+27,-1.79E+47,1.04919E+30,-1.79E+53,1.04919E+33,-1.79E+59,1.04919E+36,-1.79E+65,1.04919E+39,-1.79E+71,1.04919E+42,-1.79E+77,1.04919E+45,-1.79E+83,1.04919E+48,-1.79E+89,1.04919E+51,-1.79E+95,1.04919E+54,-1.79E+101,1.04919E+57,-1.79E+107
1039.43,-1.86E-01,1039430,-1.86E+05,1039430000,-1.86E+11,1.03943E+12,-1.86E+17,1.03943E+15,-1.86E+23,1.03943E+18,-1.86E+29,1.03943E+21,-1.86E+35,1.03943E+24,-1.86E+41,1.03943E+27,-1.86E+47,1.03943E+30,-1.86E+53,1.03943E+33,-1.86E+59,1.03943E+36,-1.86E+65,1.03943E+39,-1.86E+71,1.03943E+42,-1.86E+77,1.03943E+45,-1.86E+83,1.03943E+48,-1.86E+89,1.03943E+51,-1.86E+95,1.03943E+54,-1.86E+101,1.03943E+57,-1.86E+107
1029.36,-1.93E-01,1029360,-1.93E+05,1029360000,-1.93E+11,1.02936E+12,-1.93E+17,1.02936E+15,-1.93E+23,1.02936E+18,-1.93E+29,1.02936E+21,-1.93E+35,1.02936E+24,-1.93E+41,1.02936E+27,-1.93E+47,1.02936E+30,-1.93E+53,1.02936E+33,-1.93E+59,1.02936E+36,-1.93E+65,1.02936E+39,-1.93E+71,1.02936E+42,-1.93E+77,1.02936E+45,-1.93E+83,1.02936E+48,-1.93E+89,1.02936E+51,-1.93E+95,1.02936E+54,-1.93E+101,1.02936E+57,-1.93E+107
1019.29,-1.98E-01,1019290,-1.98E+05,1019290000,-1.98E+11,1.01929E+12,-1.98E+17,1.01929E+15,-1.98E+23,1.01929E+18,-1.98E+29,1.01929E+21,-1.98E+35,1.01929E+24,-1.98E+41,1.01929E+27,-1.98E+47,1.01929E+30,-1.98E+53,1.01929E+33,-1.98E+59,1.01929E+36,-1.98E+65,1.01929E+39,-1.98E+71,1.01929E+42,-1.98E+77,1.01929E+45,-1.98E+83,1.01929E+48,-1.98E+89,1.01929E+51,-1.98E+95,1.01929E+54,-1.98E+101,1.01929E+57,-1.98E+107
1009.52,-2.02E-01,1009520,-2.02E+05,1009520000,-2.02E+11,1.00952E+12,-2.02E+17,1.00952E+15,-2.02E+23,1.00952E+18,-2.02E+29,1.00952E+21,-2.02E+35,1.00952E+24,-2.02E+41,1.00952E+27,-2.02E+47,1.00952E+30,-2.02E+53,1.00952E+33,-2.02E+59,1.00952E+36,-2.02E+65,1.00952E+39,-2.02E+71,1.00952E+42,-2.02E+77,1.00952E+45,-2.02E+83,1.00952E+48,-2.02E+89,1.00952E+51,-2.02E+95,1.00952E+54,-2.02E+101,1.00952E+57,-2.02E+107
999.45,-2.06E-01,999450,-2.06E+05,999450000,-2.06E+11,9.9945E+11,-2.06E+17,9.9945E+14,-2.06E+23,9.9945E+17,-2.06E+29,9.9945E+20,-2.06E+35,9.9945E+23,-2.06E+41,9.9945E+26,-2.06E+47,9.9945E+29,-2.06E+53,9.9945E+32,-2.06E+59,9.9945E+35,-2.06E+65,9.9945E+38,-2.06E+71,9.9945E+41,-2.06E+77,9.9945E+44,-2.06E+83,9.9945E+47,-2.06E+89,9.9945E+50,-2.06E+95,9.9945E+53,-2.06E+101,9.9945E+56,-2.06E+107
989.69,-2.08E-01,989690,-2.08E+05,989690000,-2.08E+11,9.8969E+11,-2.08E+17,9.8969E+14,-2.08E+23,9.8969E+17,-2.08E+29,9.8969E+20,-2.08E+35,9.8969E+23,-2.08E+41,9.8969E+26,-2.08E+47,9.8969E+29,-2.08E+53,9.8969E+32,-2.08E+59,9.8969E+35,-2.08E+65,9.8969E+38,-2.08E+71,9.8969E+41,-2.08E+77,9.8969E+44,-2.08E+83,9.8969E+47,-2.08E+89,9.8969E+50,-2.08E+95,9.8969E+53,-2.08E+101,9.8969E+56,-2.08E+107
979.61,-2.10E-01,979610,-2.10E+05,979610000,-2.10E+11,9.7961E+11,-2.10E+17,9.7961E+14,-2.10E+23,9.7961E+17,-2.10E+29,9.7961E+20,-2.10E+35,9.7961E+23,-2.10E+41,9.7961E+26,-2.10E+47,9.7961E+29,-2.10E+53,9.7961E+32,-2.10E+59,9.7961E+35,-2.10E+65,9.7961E+38,-2.10E+71,9.7961E+41,-2.10E+77,9.7961E+44,-2.10E+83,9.7961E+47,-2.10E+89,9.7961E+50,-2.10E+95,9.7961E+53,-2.10E+101,9.7961E+56,-2.10E+107
969.85,-2.11E-01,969850,-2.11E+05,969850000,-2.11E+11,9.6985E+11,-2.11E+17,9.6985E+14,-2.11E+23,9.6985E+17,-2.11E+29,9.6985E+20,-2.11E+35,9.6985E+23,-2.11E+41,9.6985E+26,-2.11E+47,9.6985E+29,-2.11E+53,9.6985E+32,-2.11E+59,9.6985E+35,-2.11E+65,9.6985E+38,-2.11E+71,9.6985E+41,-2.11E+77,9.6985E+44,-2.11E+83,9.6985E+47,-2.11E+89,9.6985E+50,-2.11E+95,9.6985E+53,-2.11E+101,9.6985E+56,-2.11E+107
959.78,-2.10E-01,959780,-2.10E+05,959780000,-2.10E+11,9.5978E+11,-2.10E+17,9.5978E+14,-2.10E+23,9.5978E+17,-2.10E+29,9.5978E+20,-2.10E+35,9.5978E+23,-2.10E+41,9.5978E+26,-2.10E+47,9.5978E+29,-2.10E+53,9.5978E+32,-2.10E+59,9.5978E+35,-2.10E+65,9.5978E+38,-2.10E+71,9.5978E+41,-2.10E+77,9.5978E+44,-2.10E+83,9.5978E+47,-2.10E+89,9.5978E+50,-2.10E+95,9.5978E+53,-2.10E+101,9.5978E+56,-2.10E+107
949.71,-2.10E-01,949710,-2.10E+05,949710000,-2.10E+11,9.4971E+11,-2.10E+17,9.4971E+14,-2.10E+23,9.4971E+17,-2.10E+29,9.4971E+20,-2.10E+35,9.4971E+23,-2.10E+41,9.4971E+26,-2.10E+47,9.4971E+29,-2.10E+53,9.4971E+32,-2.10E+59,9.4971E+35,-2.10E+65,9.4971E+38,-2.10E+71,9.4971E+41,-2.10E+77,9.4971E+44,-2.10E+83,9.4971E+47,-2.10E+89,9.4971E+50,-2.10E+95,9.4971E+53,-2.10E+101,9.4971E+56,-2.10E+107
939.94,-2.08E-01,939940,-2.08E+05,939940000,-2.08E+11,9.3994E+11,-2.08E+17,9.3994E+14,-2.08E+23,9.3994E+17,-2.08E+29,9.3994E+20,-2.08E+35,9.3994E+23,-2.08E+41,9.3994E+26,-2.08E+47,9.3994E+29,-2.08E+53,9.3994E+32,-2.08E+59,9.3994E+35,-2.08E+65,9.3994E+38,-2.08E+71,9.3994E+41,-2.08E+77,9.3994E+44,-2.08E+83,9.3994E+47,-2.08E+89,9.3994E+50,-2.08E+95,9.3994E+53,-2.08E+101,9.3994E+56,-2.08E+107
929.87,-2.07E-01,929870,-2.07E+05,929870000,-2.07E+11,9.2987E+11,-2.07E+17,9.2987E+14,-2.07E+23,9.2987E+17,-2.07E+29,9.2987E+20,-2.07E+35,9.2987E+23,-2.07E+41,9.2987E+26,-2.07E+47,9.2987E+29,-2.07E+53,9.2987E+32,-2.07E+59,9.2987E+35,-2.07E+65,9.2987E+38,-2.07E+71,9.2987E+41,-2.07E+77,9.2987E+44,-2.07E+83,9.2987E+47,-2.07E+89,9.2987E+50,-2.07E+95,9.2987E+53,-2.07E+101,9.2987E+56,-2.07E+107
